"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101"
"Frumpies","Anabelle","F","0","Simpson","134.47791","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","Hello Kitty","69"
"Kenny G with Peabo Bryson","Anabelle","F","1","Simpson","264.75057","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","By The Time This Night Is Over","69"
"Biffy Clyro","Anabelle","F","2","Simpson","189.83138","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","455","God & Satan","69"
"HIM","Lily","F","1","Burns","212.06159","free","New York-Newark-Jersey City, NY-NJ-PA","456","Beautiful","32"
"Matmos","Joseph","M","0","Gutierrez","1449.11628","free","Columbia, SC","284","Supreme Balloon","75"
"Gary Allan","Ryann","F","0","Smith","259.83955","free","Palestine, TX","328","The One","92"
"Miracle Fortress","Ryann","F","1","Smith","200.9073","free","Palestine, TX","328","Five Roses","92"
"Don Omar","Ryann","F","2","Smith","261.35465","free","Palestine, TX","328","Cuentale","92"
"Jay-Z","Ryann","F","3","Smith","212.27057","free","Palestine, TX","328","D'Evils","92"
"Red Hot Chili Peppers","Ryann","F","4","Smith","231.33995","free","Palestine, TX","328","Easily (Album Version)","92"
"Flogging Molly","Chloe","F","1","Cuevas","361.9522","free","San Francisco-Oakland-Hayward, CA","437","Rebels of the Sacred Heart","49"
"Reverend Horton Heat","Chloe","F","2","Cuevas","158.64118","free","San Francisco-Oakland-Hayward, CA","437","Now_ Right Now","49"
"Sea Wolf","Chloe","F","3","Cuevas","232.61995","free","San Francisco-Oakland-Hayward, CA","437","I Made A Resolution","49"
"Jason Mraz & Colbie Caillat","Chloe","F","4","Cuevas","189.6224","free","San Francisco-Oakland-Hayward, CA","437","Lucky (Album Version)","49"
"Jamie Lidell","Chloe","F","5","Cuevas","175.25506","free","San Francisco-Oakland-Hayward, CA","437","Enoughs Enough","49"
"Feist","Chloe","F","6","Cuevas","212.79302","free","San Francisco-Oakland-Hayward, CA","437","Mushaboom (Postal Service Mix)","49"
"Sex Slaves","Chloe","F","12","Cuevas","175.51628","free","San Francisco-Oakland-Hayward, CA","437","We're Going Out Tonight","49"
"Rise Against","Chloe","F","1","Cuevas","169.482","free","San Francisco-Oakland-Hayward, CA","469","To Them These Streets Belong","49"
"BeyoncÃÂ©","Mohammad","M","1","Rodriguez","359.54893","free","Sacramento--Roseville--Arden-Arcade, CA","441","Get Me Bodied","88"
"Nate Dogg","Mohammad","M","2","Rodriguez","356.38812","free","Sacramento--Roseville--Arden-Arcade, CA","441","Never Leave Me Alone","88"
"Taylor Swift","Cierra","F","1","Finley","233.89995","free","Richmond, VA","443","Love Story","96"
"Lynyrd Skynyrd","Ryan","M","0","Smith","216.60689","free","San Jose-Sunnyvale-Santa Clara, CA","452","Sweet home Alabama","26"
"Kelis","Cierra","F","2","Finley","293.58975","free","Richmond, VA","443","Caught Out There (Explicit)","96"
"The Kills","Cierra","F","3","Finley","203.38893","free","Richmond, VA","443","Last Day Of Magic","96"
"Collie Buddz featuring Paul Wall","Aleena","F","1","Kirby","271.62077","paid","Waterloo-Cedar Falls, IA","448","What A Feeling","44"
"Charttraxx Karaoke","Cierra","F","4","Finley","225.17506","free","Richmond, VA","443","Fireflies","96"
"Band Of Horses","Aleena","F","2","Kirby","321.14893","paid","Waterloo-Cedar Falls, IA","448","The Funeral (Album Version)","44"
"Coldplay","Aleena","F","3","Kirby","307.51302","paid","Waterloo-Cedar Falls, IA","448","Clocks","44"
"Bon Jovi","Aleena","F","4","Kirby","228.75383","paid","Waterloo-Cedar Falls, IA","448","Have A Nice Day","44"
"P.O.D.","Aleena","F","5","Kirby","203.7024","paid","Waterloo-Cedar Falls, IA","448","Alive (2006 Remastered Album Version)","44"
"Bloc Party","Aleena","F","6","Kirby","222.04036","paid","Waterloo-Cedar Falls, IA","448","Plans (Replanned by Mogwai)","44"
"Los Prisioneros","Aleena","F","7","Kirby","211.12118","paid","Waterloo-Cedar Falls, IA","448","Pa Pa Pa","44"
"Octopus Project","Aleena","F","8","Kirby","175.25506","paid","Waterloo-Cedar Falls, IA","448","Lots More Stairs","44"
"Roudoudou","Aleena","F","9","Kirby","18.41587","paid","Waterloo-Cedar Falls, IA","448","Ecoute Ce Scratch","44"
"Africando","Aleena","F","10","Kirby","253.54404","paid","Waterloo-Cedar Falls, IA","448","Tierra Tradicional","44"
"RUN-DMC Featuring Method Man_ Kenny Cash_ Mike Ransom_ and Jamel Simmons","Aleena","F","11","Kirby","266.52689","paid","Waterloo-Cedar Falls, IA","448","Simmons Incorporated","44"
"Graham Coxon","Colm","M","1","Santana","197.14567","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","I'm Goin' Away","67"
"Queens Of The Stone Age","Aleena","F","12","Kirby","231.02649","paid","Waterloo-Cedar Falls, IA","448","In The Fade","44"
"Dance Gavin Dance","Colm","M","2","Santana","193.30567","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Strawberry AndrÃÂ© (Album Version)","67"
"Passion Pit","Aleena","F","13","Kirby","243.69587","paid","Waterloo-Cedar Falls, IA","448","Eyes As Candles","44"
"Black Eyed Peas","Colm","M","4","Santana","229.61587","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Let's Get It Started","67"
"Plastic Bertrand","Colm","M","5","Santana","180.00934","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Ca plane pour moi","67"
"Cream","Colm","M","6","Santana","166.5824","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Strange Brew","67"
"Coldplay","Colm","M","7","Santana","284.39465","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","A Message","67"
"Cute Is What We Aim For","Colm","M","8","Santana","172.22485","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Sweat the Battle Before the Battle Sweats You (Album Version)","67"
"Metallica","Connar","M","0","Moreno","256.9922","free","Houston-The Woodlands-Sugar Land, TX","218","Of Wolf And Man","62"
"The Kills","Connar","M","1","Moreno","217.70404","free","Houston-The Woodlands-Sugar Land, TX","218","Tape Song","62"
"Foo Fighters","Connar","M","2","Moreno","271.38567","free","Houston-The Woodlands-Sugar Land, TX","218","The Pretender","62"
"Plaid","Connar","M","3","Moreno","260.96281","free","Houston-The Woodlands-Sugar Land, TX","218","Eyen [Chosen by fans on Warp20.net]","62"
"The Van Pelt","Theodore","M","1","Harris","208.71791","free","Red Bluff, CA","462","It's New To Me","14"
"44","Ryan","M","1","Smith","224.57424","free","San Jose-Sunnyvale-Santa Clara, CA","472","Make You Smile","26"
"Chris Brown","Rylan","M","1","George","275.1473","free","Birmingham-Hoover, AL","446","I May Never Find","16"
"KT Tunstall","Ryan","M","2","Smith","170.47465","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Horse And The Cherry Tree (Radio Version)","26"
"Cascada","Rylan","M","2","George","184.39791","free","Birmingham-Hoover, AL","446","Kids In America","16"
"Incubus","Ryan","M","3","Smith","293.38077","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Heart Inertia","26"
"Miike Snow","Tegan","F","1","Levine","220.83873","paid","Portland-South Portland, ME","435","Black & Blue","80"
"Cartola","Tegan","F","2","Levine","208.92689","paid","Portland-South Portland, ME","435","Sala De RecepÃÂ§ÃÂ£o","80"
"Kill The Client","Tegan","F","3","Levine","70.68689","paid","Portland-South Portland, ME","435","Commander In Thief","80"
"Wolfmother","Tegan","F","5","Levine","175.82975","paid","Portland-South Portland, ME","435","Woman","80"
"Old Crow Medicine Show","Tegan","F","6","Levine","231.73179","paid","Portland-South Portland, ME","435","Wagon Wheel","80"
"Architecture In Helsinki","Tegan","F","7","Levine","173.73995","paid","Portland-South Portland, ME","435","Debbie","80"
"Charlie Louvin","Tegan","F","8","Levine","170.86649","paid","Portland-South Portland, ME","435","I Think I'll Live","80"
"Miguel Morales","Tegan","F","9","Levine","270.78485","paid","Portland-South Portland, ME","435","La Derrota de Un Don Juan","80"
"Dominique A","Tegan","F","10","Levine","153.20771","paid","Portland-South Portland, ME","435","Le Courage Des Oiseaux","80"
"Cock Sparrer","Tegan","F","11","Levine","203.25832","paid","Portland-South Portland, ME","435","Run With The Blind","80"
"Jimmy Wakely","Tegan","F","12","Levine","165.74649","paid","Portland-South Portland, ME","435","I Love You So Much It Hurts","80"
"Peter Doherty","Tegan","F","13","Levine","217.02485","paid","Portland-South Portland, ME","435","A Little Death Around the Eyes","80"
"Katy Perry","Tegan","F","14","Levine","246.41261","paid","Portland-South Portland, ME","435","Thinking Of You","80"
"Sidewalk Prophets","Molly","F","0","Taylor","260.62322","free","St. Louis, MO-IL","464","You Love Me Anyway (Album)","35"
"Rise Against","Molly","F","1","Taylor","221.17832","free","St. Louis, MO-IL","464","Torches","35"
"K'Naan","Molly","F","2","Taylor","220.49914","free","St. Louis, MO-IL","464","Wavin'  Flag","35"
"Patrick Jumpen","Ryan","M","0","Smith","208.87465","free","San Jose-Sunnyvale-Santa Clara, CA","480","Holiday","26"
"Alicia Keys","Ryan","M","1","Smith","216.47628","free","San Jose-Sunnyvale-Santa Clara, CA","480","Empire State Of Mind (Part II) Broken Down","26"
