Location,Airport,IATA
Abu Dhabi,Abu Dhabi International Airport,AUH
Al Ain,Al Ain International Airport,AAN
Dubai,Al-Maktoum International Airport,DWC
Dubai,Dubai International Airport,DXB
Ras Al Khaimah,Ras Al Khaimah International Airport,RKT
Sharjah,Sharjah International Airport,SHJ
Aden,Aden International Airport,ADE
Sana'a,Sana'a International Airport,SAH
Seiyun,Seiyun Airport,GXF
Antwerp,Antwerp International Airport,ANR
Brussels,Brussels Airport,BRU
Brussels/Charleroi,Brussels South Charleroi Airport,CRL
Liege,Liege Airport,LGG
Ostend/Bruges,Ostend-Bruges International Airport,OST
Ajaccio,Campo dell'Oro Airport,AJA
Bastia,Poretta Airport,BIA
Beauvais,Beauvais-Tille Airport,BVA
Bergerac,Bergerac-Roumaniere Airport,EGC
Beziers,Beziers Cap d'Agde Airport,BZR
Biarritz,Biarritz Airport,BIQ
Bordeaux,Merignac Airport,BOD
Brest,Brest Bretagne Airport,BES
Carcassonne,Salvaza Airport,CCF
Ch-lons-en-Champagne,Ch-lons Vatry Airport,XCR
Chambery,Chambery-Savoie Airport,CMF
Dinard,Pleurtuit Airport,DNR
Figari,Figari Sud-Corse Airport,FSC
Grenoble,Grenoble-Isere Airport,GNB
Ile de Re,Ile de Re Airport,LRH
Lille,Lille Lesquin Airport,LIL
Limoges,Bellegarde Airport,LIG
Lyon,Saint-Exupery Airport,LYS
Marseille,Provence Airport,MRS
Mulhouse,Basel-Mulhouse-Freiburg Airport,BSL
Nantes,Nantes Atlantique Airport,NTE
Nice,Cote dAzur Airport,NCE
Nimes,Garons Airport,FNI
Paris,Charles de Gaulle Airport,CDG
Paris,Orly Airport,ORY
Pau,Uzein Airport,PUF
Perpignan,Llabanere Airport,PGF
Poitiers,Biard Airport,PIS
Rodez,Marcillac Airport,RDZ
Saint Etienne,Boutheon Airport,EBU
Strasbourg,Strasbourg Airport,SXB
Toulon,Hyeres Le Palyvestre Airport,TLN
Toulouse,Blagnac Airport,TLS
Tours,Tours Loire Valley Airport,TUF
Gibraltar,North Front Airport,GIB
Alderney,Alderney Airport,ACI
Guernsey,Guernsey Airport,GCI
Jersey,Jersey Airport,JER
Cork,Cork Airport,ORK
Dublin,Dublin Airport,DUB
Kerry,Kerry Airport,KIR
Knock,Ireland West Airport Knock,NOC
Shannon,Shannon Airport,SNN
Isle of Man,Isle of Man Airport,IOM
Luxembourg City,Findel Airport,LUX
Amsterdam,Amsterdam Airport Schiphol,AMS
Eindhoven,Eindhoven Airport,EIN
Groningen,Groningen Airport Eelde,GRQ
Maastricht,Maastricht-Aachen Airport,MST
Rotterdam,Rotterdam The Hague Airport,RTM
Beja,Beja Airport,BYJ
Faro,Faro Airport,FAO
Funchal,Madeira Airport,FNC
Porto Santo Island,Porto Santo Airport,PXO
Lisbon,Humberto Delgado Airport,LIS
Porto,Francisco Sa Carneiro Airport,OPO
Ponta Delgada,Joao Paulo II Airport,PDL
Terceira Island,Terceira Airport,TER
A Coru-a,Alvedro Airport,LCG
Alicante,Alicante Airport,ALC
Almeria,Almer-a International Airport,LEI
Asturias,Asturias Airport,OVD
Barcelona,Barcelona Airport,BCN
Bilbao,Bilbao Airport,BIO
Castellon de la Plana,Castellon-Costa Azahar Airport,CDT
Fuerteventura,Fuerteventura Airport,FUE
Girona,Girona-Costa Brava Airport,GRO
Gran Canaria,Gran Canaria Airport,LPA
Granada,Federico Garc-a Lorca Granada Airport,GRX
Huesca,Huesca-Pirineos Airport,HSK
Ibiza,Ibiza Airport,IBZ
Jerez de la Frontera,Jerez Airport,XRY
La Palma,La Palma Airport,SPC
Lanzarote,Lanzarote Airport,ACE
Lleida,Alguaire Airport,ILD
Madrid,Madrid-Barajas Airport,MAD
Malaga,Malaga Airport,AGP
Menorca,Menorca Airport,MAH
Murcia,Region de Murcia International Airport,RMU
Palma de Mallorca,Palma de Mallorca Airport,PMI
Pamplona,Pamplona Airport,PNA
Reus,Reus Airport,REU
Santander,Santander Airport,SDR
Santiago de Compostela,Santiago de Compostela Airport,SCQ
Seville,Seville Airport,SVQ
Tenerife,Tenerife North Airport,TFN
Tenerife,Tenerife South Airport,TFS
Valencia,Valencia Airport,VLC
Valladolid,Valladolid Airport,VLL
Vigo,Vigo-Peinador Airport,VGO
Vitoria-Gasteiz,Vitoria Airport,VIT
Zaragoza,Zaragoza Airport,ZAZ
Graz,Graz Airport,GRZ
Klagenfurt,Klagenfurt Airport,KLU
Innsbruck,Innsbruck Airport,INN
Linz,Linz Airport,LNZ
Salzburg,Salzburg Airport,SZG
Vienna,Vienna International Airport,VIE
Brno,Brno-Tu'any Airport,BRQ
Karlovy Vary,Karlovy Vary Airport,KLV
Ostrava,Leos Jana'ek Ostrava Airport,OSR
Prague,Prague Vaclav Havel Airport,PRG
Pardubice,Pardubice Airport,PED
Baden-Baden/Karlsruhe,Karlsruhe/Baden-Baden Airport,FKB
Berlin,Berlin Tegel Airport,TXL
Berlin,Berlin Schonefeld Airport,SXF
Bremen,Bremen Airport,BRE
Cologne/Bonn,Cologne/Bonn Airport,CGN
Dortmund,Dortmund Airport,DTM
Dusseldorf,Dusseldorf Airport,DUS
Frankfurt,Frankfurt Airport,FRA
Frankfurt,Frankfurt-Hahn Airport,HHN
Freiburg im Breisgau,EuroAirport Basel-Mulhouse-Freiburg,MLH/BSL/EAP
Friedrichshafen,Friedrichshafen Airport,FDH
Hamburg,Hamburg Airport,HAM
Hanover,Langenhagen Airport,HAJ
Leipzig,Leipzig/Halle Airport,LEJ
Lubeck,Lubeck Airport,LBC
Memmingen,Memmingen Airport,FMM
Munich,Munich Airport,MUC
Nuremberg,Albrecht Durer Airport,NUE
Stuttgart,Stuttgart Airport,STR
Weeze,Weeze Airport,NRN
Athens,Athens International Airport,ATH
Chania,Chania International Airport,CHQ
Chios Island,Chios Island National Airport,JKH
Corfu,Ioannis Kapodistrias Airport,CFU
Heraklion,Heraklion International Airport,HER
Kalamata,Kalamata International Airport,KLX
Karpathos Island,Karpathos Island National Airport,AOK
Kavala,Kavala International Airport,KVA
Kefalonia Island,Kefalonia Island International Airport,EFL
Kos Island,Kos Island International Airport,KGS
Mykonos Island,Mykonos Island National Airport,JMK
Mytilene,Mytilene International Airport,MJT
Preveza,Aktion National Airport,PVK
Rhodes,Rhodes International Airport,RHO
Samos,Samos International Airport,SMI
Santorini,Santorini (Thira) National Airport,JTR
Skiathos Island,Skiathos Island National Airport,JSI
Skyros Island,Skyros Island National Airport,SKU
Thessaloniki,Thessaloniki International Airport,SKG
Volos,Nea Anchialos National Airport,VOL
Zakynthos,Zakynthos International Airport,ZTH
Alghero,Fertilia Airport,AHO
Ancona,Ancona Airport,AOI
Bari,Palese Airport,BRI
Bergamo,Orio al Serio Airport,BGY
Bologna,Bologna Airport,BLQ
Brescia,Brescia Airport,VBS
Brindisi,Brindisi Airport,BDS
Cagliari,Cagliari Airport,CAG
Catania,Fontanarossa Airport,CTA
Cuneo,Cuneo Levaldigi Airport,CUF
Florence,Peretola Airport,FLR
Genoa,Cristoforo Colombo Airport,GOA
Lamezia,Lamezia Terme Airport,SUF
Milan,Linate Airport,LIN
Milan,Malpensa Airport,MXP
Naples,Capodichino Airport,NAP
Olbia,Costa Smeralda Airport,OLB
Palermo,Palermo Airport,PMO
Perugia,San Egidio Airport,PEG
Pescara,Abruzzo Airport,PSR
Pisa,Galileo Galilei Airport,PSA
Rimini,Federico Fellini Airport,RMI
Rome,Leonardo da Vinci-Fiumicino Airport,FCO
Rome,Rome Ciampino Airport,CIA
Trapani,Vincenzo Florio Airport,TPS
Trieste,Friuli Venezia Giulia Airport,TRS
Turin,Caselle Airport,TRN
Venice,Venice Marco Polo Airport,VCE
Verona,Verona Airport,VRN
Bratislava,M. R. stefanik Airport,BTS
Kosice,Kosice International Airport,KSC
Piestany,Piestany Airport,PZY
Poprad,Poprad-Tatry Airport,TAT
Sliac,Sliac Airport,SLD
Zilina,Zilina Airport,ILZ
Basel,EuroAirport Basel-Mulhouse-Freiburg,BSL
Bern,Bern-Belp Airport,BRN
Geneva,Geneva International Airport,GVA
St. Gallen,St. Gallen-Altenrhein Airport,ACH
Zurich,Zurich Airport,ZRH
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Gdansk,Gdansk Lech Walesa Airport,GDN
Katowice,Katowice International Airport,KTW
Krakow,John Paul II International Airport Krakow-Balice,KRK
Lublin,Lublin Airport,LUZ
Lodz,Lodz Wladyslaw Reymont Airport,LCJ
Poznan,Poznan Lawica Airport,POZ
Rzeszow,Rzeszow-Jasionka Airport,RZE
Szczecin,Szczecin-Goleniow Solidarnosc Airport,SZZ
Warsaw,Frederic Chopin Airport,WAW
Warsaw,Modlin Airport,WMI
Wroclaw,Copernicus Airport Wroclaw,WRO
Bacau,George Enescu International Airport,BCM
Bucharest,Henri Coanda International Airport,OTP
Cluj-Napoca,Cluj-Napoca International Airport,CLJ
Constan'a,Mihail Kog'lniceanu International Airport,CND
Craiova,Craiova International Airport,CRA
Ia'i,Ia'i International Airport,IAS
Oradea,Oradea International Airport,OMR
Sibiu,Sibiu International Airport,SBZ
Timi'oara,Traian Vuia International Airport,TSR
Tirana,Tirana International Airport N-n- Tereza,TIA
Yerevan,Zvartnots International Airport,EVN
Gyumri,Shirak Airport,LWN
Baku,Heydar Aliyev International Airport,GYD
Ganja,Ganja International Airport,KVD
Nakhchivan,Nakhchivan Airport,NAJ
Qabala,Qabala International Airport,GBB
Lankaran,Lankaran International Airport,LLK
Grodno,Hrodna Airport,GNA
Gomel,Gomel Airport,GME
Minsk,Minsk International Airport,MSQ
Banja Luka,Banja Luka International Airport,BNX
Sarajevo,Sarajevo International Airport,SJJ
Tuzla,Tuzla International Airport,TZL
Mostar,Mostar International Airport,OMO
Burgas,Burgas Airport,BOJ
Plovdiv,Plovdiv Airport,PDV
Sofia,Sofia Airport,SOF
Varna,Varna Airport,VAR
Dubrovnik,Dubrovnik Airport,DBV
Zagreb,Franjo Tu'man Airport,ZAG
Osijek,Osijek Airport,OSI
Pula,Pula Airport,PUY
Rijeka,Rijeka Airport,RJK
Split,Split Airport,SPU
Zadar,Zadar Airport,ZAD
Larnaca,Larnaca International Airport,LCA
Paphos,Paphos International Airport,PFO
North Nicosia,Ercan International Airport,ECN
Tallinn,Lennart Meri Tallinn Airport,TLL
Tartu,Tartu Airport,TAY
Ambrolauri,Ambrolauri Airport,UGAM
Batumi,Batumi International Airport,BUS
Kutaisi,Kutaisi International Airport,KUT
Mestia,Queen Tamar Airport,UGMS
Natakhtari,Natakhtari Airfield,UGSA
Sokhumi,Sukhumi Babushara Airport,SUI
Tbilisi,Tbilisi International Airport,TBS
Budapest,Budapest Ferenc Liszt International Airport,BUD
Debrecen,Debrecen International Airport,DEB
Hev-z,Hev-z-Balaton Airport,SOB
Gy'r,Gy'r-Per International Airport,QGY
Pecs,Pecs-Pogany International Airport,QPJ
Pristina,Pristina International Airport,PRN
Riga,Riga International Airport,RIX
Ventspils,Ventspils International Airport,VNT
Kaunas,Kaunas Airport,KUN
Palanga,Palanga International Airport,PLQ
siauliai,siauliai International Airport,SQQ
Vilnius,Vilnius International Airport,VNO
Valletta,Malta International Airport,MLA
Chi'in'u,Chi'in'u International Airport,KIV
Podgorica,Podgorica Airport,TGD
Tivat,Tivat Airport,TIV
Ohrid,Ohrid St. Paul the Apostle Airport,OHD
Skopje,Skopje Alexander the Great Airport,SKP
Abakan,Abakan International Airport,ABA
Anadyr,Ugolny Airport,DYR
Anapa,Anapa Airport,AAQ
Arkhangelsk,Talagi Airport,ARH
Astrakhan,Narimanovo Airport,ASF
Barnaul,Barnaul Airport,BAX
Belgorod,Belgorod International Airport,EGO
Blagoveshchensk,Ignatyevo Airport,BQS
Bratsk,Bratsk Airport,BTK
Bryansk,Bryansk International Airport,BZK
Cheboksary,Cheboksary Airport,CSY
Chelyabinsk,Chelyabinsk Airport,CEK
Cherepovets,Cherepovets Airport,CEE
Chita,Kadala Airport,HTA
Elista,Elista Airport,ESL
Irkutsk,Irkutsk Airport,IKT
Grozny,Grozny Airport,GRV
Kaliningrad,Khrabrovo Airport,KGD
Kazan,Kazan Airport,KZN
Khabarovsk,Khabarovsk Novy Airport,KHV
Komsomolsk-on-Amur,Komsomolsk-on-Amur Airport,KXK
Krasnodar,Pashkovsky Airport,KRR
Krasnoyarsk,Yemelyanovo International Airport,KJA
Kursk,Kursk Vostochny Airport,URS
Magadan,Sokol Airport,GDX
Magnitogorsk,Magnitogorsk International Airport,MQF
Makhachkala,Uytash Airport,MCX
Mineralnye Vody,Mineralnye Vody Airport,MRV
Moscow,Domodedovo International Airport,DME
Moscow,Sheremetyevo International Airport,SVO
Moscow,Vnukovo Airport,VKO
Murmansk,Murmansk Airport,MMK
Nalchik,Nalchik Airport,NAL
Nizhnevartovsk,Nizhnevartovsk Airport,NJC
Nizhnekamsk,Begishevo Airport,NBC
Nizhny Novgorod,Strigino Airport,GOJ
Novokuznetsk,Spichenkovo Airport,NOZ
Novosibirsk,Tolmachevo Airport,OVB
Omsk,Omsk Tsentralny Airport,OMS
Orenburg,Orenburg Tsentralny Airport,REN
Orsk,Orsk Airport,OSW
Perm,Perm International Airport,PEE
Petrozavodsk,Petrozavodsk Airport,PES
Provideniya,Provideniya Bay Airport,PVS
Petropavlovsk-Kamchatsky,Yelizovo Airport,PKC
Pskov,Pskov Airport,PKV
Rostov-on-Don,Platov International Airport,ROV
Saint Petersburg,Pulkovo Airport,LED
Samara,Samara Kurumoch Airport,KUF
Saratov,Saratov Tsentralny Airport,RTW
Sochi,Sochi International Airport,AER
Stavropol,Stavropol Shpakovskoye Airport,STW
Surgut,Surgut International Airport,SGC
Syktyvkar,Syktyvkar Airport,SCW
Tomsk,Bogashevo Airport,TOF
Tyumen,Roshchino International Airport,TJM
Ulan-Ude,Baikal International Airport,UUD
Ulyanovsk,Ulyanovsk Baratayevka Airport,ULV
Ufa,Ufa International Airport,UFA
Vladivostok,Vladivostok International Airport,VVO
Vladikavkaz,Beslan Airport,OGZ
Volgograd,Volgograd International Airport,VOG
Voronezh,Voronezh International Airport,VOZ
Yakutsk,Yakutsk Airport,YKS
Yaroslavl,Tunoshna Airport,IAR
Yekaterinburg,Koltsovo International Airport,SVX
Yuzhno-Sakhalinsk,Yuzhno-Sakhalinsk Airport,UUS
Belgrade,Belgrade Nikola Tesla Airport,BEG
Nis,Nis Constantine the Great Airport,INI
Kraljevo,Morava Airport,KVO
Ljubljana,Ljubljana Jo-e Pu'nik Airport,LJU
Maribor,Maribor Edvard Rusjan Airport,MBX
Portoro-,Portoro- Airport,POW
Adana,'akirpa'a Airport,ADA
Ankara,Esenbo'a International Airport,ESB
Antalya,Antalya Airport,AYT
Bodrum,Milas-Bodrum Airport,BJV
Bursa,Yeni'ehir Airport,YEI
Dalaman,Dalaman Airport,DLM
Gaziantep,O'uzeli Airport,GZT
Istanbul,Istanbul Airport,IST
Istanbul,Sabiha Gok-en International Airport,SAW
zmir,Adnan Menderes Airport,ADB
Kayseri,Erkilet Airport,ASR
Konya,Konya Airport,KYA
Kutahya,Zafer Airport,KZR
Malatya,Erha- Airport,MLX
Nev'ehir,Kapadokya Airport,NAV
Samsun,Samsun--ar'amba Airport,SZF
Trabzon,Trabzon Airport,TZX
Zonguldak,Zonguldak Airport,ONQ
Kiev,Boryspil International Airport,KBP
Chernivtsi,Chernivtsi International Airport,CWC
Dnipro,Dnipropetrovsk International Airport,DNK
Ivano-Frankivsk,Ivano-Frankivsk International Airport,IFO
Kharkiv,Kharkiv International Airport,HRK
Kryvyi Rih,Kryvyi Rih International Airport,KWG
Kiev,Kyiv Zhuliany International Airport,IEV
Lviv,Lviv Danylo Halytskyi International Airport,LWO
Mykolaiv,Mykolaiv International Airport,NLV
Odessa,Odessa International Airport,ODS
Poltava,Poltava Airport,PLV
Simferopol,Simferopol International Airport,SIP
Uzhhorod,Uzhhorod International Airport,UDJ
Zaporizhia,Zaporizhia International Airport,OZH
Aalborg,Aalborg Airport,AAL
Aarhus,Aarhus Airport,AAR
Billund,Billund Airport,BLL
Copenhagen,Copenhagen Airport,CPH
Vagar,Vagar Airport,FAE
-land,Mariehamn Airport,MHQ
Helsinki,Helsinki-Vantaa Airport,HEL
Kittil-,Kittil- Airport,KTT
Kuopio,Kuopio Airport,KUO
Kuusamo,Kuusamo Airport,KAO
Lappeenranta,Lappeenranta Airport,LPP
Oulu,Oulu Airport,OUL
Rovaniemi,Rovaniemi Airport,RVN
Tampere,Tampere-Pirkkala Airport,TMP
Turku,Turku Airport,TKU
Vaasa,Vaasa Airport,VAA
Akureyri,Akureyri Airport,AEY
Reykjavik,Keflavik International Airport,KEF
Reykjavik,Reykjavik Airport,RKV
-lesund,-lesund Airport,AES
Bergen,Bergen Airport,BGO
Bod-,Bod- Airport,BOO
Haugesund,Haugesund Airport,HAU
Kristiansand,"Kristiansand Airport, Kjevik",KRS
Kristiansand,"Kristiansund Airport, Kvernberget",KSU
Oslo,Oslo Airport-Gardermoen,OSL
Oslo,Sandefjord Airport,TRF
Stavanger,Stavanger Airport,SVG
Troms-,Troms- Airport,TOS
Trondheim,Trondheim Airport,TRD
Gothenburg,Goteborg Landvetter Airport,GOT
Lulea,Lulea Airport,LLA
Malmo,Malmo Airport,MMX
Norrkoping,Norrkoping Airport,NRK
ostersund,Are ostersund Airport,OSD
Stockholm,Stockholm-Arlanda Airport,ARN
Stockholm,Stockholm-Bromma Airport,BMA
Stockholm,Stockholm-Skavsta Airport,NYO
Stockholm,Stockholm-Vasteras Airport,VST
Umea,Umea Airport,UME
Vaxjo,Vaxjo Airport,VXO
Visby,Visby Airport,VBY
Birmingham,Birmingham International Airport,BHX
Bournemouth,Bournemouth Airport,BOH
Bristol,Bristol Airport,BRS
Cardiff,Cardiff Airport,CWL
Doncaster/Sheffield,Robin Hood Airport Doncaster Sheffield,DSA
Middlesbrough,Durham Tees Valley Airport,MME
Nottingham/Leicester,East Midlands Airport,EMA
Exeter,Exeter International Airport,EXT
Leeds/Bradford,Leeds Bradford International Airport,LBA
Liverpool,Liverpool John Lennon Airport,LPL
London,London City Airport,LCY
London,Gatwick Airport,LGW
London,Heathrow Airport,LHR
London,Luton Airport,LTN
London,Southend Airport,SEN
London,Stansted Airport,STN
Manchester,Manchester Airport,MAN
Newcastle upon Tyne,Newcastle Airport,NCL
Newquay,Newquay Cornwall Airport,NQY
Norwich,Norwich International Airport,NWI
Southampton,Southampton Airport,SOU
Aberdeen,Aberdeen Airport,ABZ
Edinburgh,Edinburgh Airport,EDI
Glasgow,Glasgow International Airport,GLA
Glasgow,Glasgow Prestwick Airport,PIK
Inverness,Inverness Airport,INV
Belfast,Belfast International Airport,BFS
Belfast,George Best Belfast City Airport,BHD
Derry,City of Derry Airport,LDY
Pago Pago,Pago Pago International Airport,PPG
Adelaide,Adelaide Airport,ADL
Brisbane,Brisbane Airport,BNE
Cairns,Cairns Airport,CNS
Canberra,Canberra Airport,CBR
Darwin,Darwin International Airport,DRW
Gold Coast,Gold Coast Airport,OOL
Hobart,Hobart International Airport,HBA
Melbourne,Melbourne Airport,MEL
Melbourne,Avalon Airport,AVV
Perth,Perth Airport,PER
Port Hedland,Port Hedland International Airport,PHE
Sydney,Sydney Airport,SYD
Townsville,Townsville International Airport,TSV
Christmas Island,Christmas Island Airport,XCH
Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport,CCK
Rarotonga,Rarotonga Airport,RAR
Hanga Roa,Mataveri International Airport,IPC
Nadi,Nadi International Airport,NAN
Suva,Nausori International Airport,SUV
Papeete,Faa'a International Airport,PPT
Hag-t-a,Antonio B. Won Pat International Airport,GUM
Kiritimati,Cassidy International Airport,CXI
Tarawa,Bonriki International Airport,TRW
Kwajalein,Bucholz Army Airfield,KWA
Majuro,Marshall Islands International Airport,MAJ
Chuuk,Chuuk International Airport,TKK
Kosrae,Kosrae International Airport,KSA
Pohnpei,Pohnpei International Airport,PNI
Yap,Yap International Airport,YAP
Yaren,Nauru International Airport,INU
Noumea,La Tontouta International Airport,NOU
Auckland,Auckland Airport,AKL
Christchurch,Christchurch International Airport,CHC
Dunedin,Dunedin International Airport,DUD
Queenstown,Queenstown Airport,ZQN
Wellington,Wellington International Airport,WLG
Norfolk Island,Norfolk Island Airport,NLK
Rota Island,Rota International Airport,ROP
Saipan Island,Saipan International Airport,SPN
Tinian Island,Tinian International Airport,TIQ
Alofi,Niue International Airport,IUE
Koror,Roman Tmetuchl International Airport,ROR
Port Moresby,Jacksons International Airport,POM
Apia,Faleolo International Airport,APW
Honiara,Honiara International Airport,HIR
Nuku'alofa,Fua'amotu International Airport,TBU
Vava'u,Vava'u International Airport,VAV
Funafuti,Funafuti International Airport,FUN
Luganville,Santo-Pekoa International Airport,SON
Port Vila,Bauerfield International Airport,VLI
Futuna,Pointe Vele Airport,FUT
Wallis,Hihifo Airport,WLS